mfcc1,mfcc2,mfcc3,spectral_centroid,spectral_bandwidth,zero_crossing_rate,chroma_mean,rms,tempo,actor,file_name
-693.497,50.06439,0.5714505,2500.09750523535,1810.7814301818144,0.07286658653846154,0.52545637,0.0023266,[156.25],Actor_01,03-01-01-01-01-01-01.wav
-683.3468,48.88926,-1.6834443,2594.92808364348,1977.2338879226047,0.0710844494047619,0.5726418,0.0025049483,[144.23076923],Actor_01,03-01-01-01-01-02-01.wav
-677.8081,51.402702,-0.009545733,2527.4402110826336,1985.56689515922,0.06651054308252427,0.5693345,0.0028465067,[125.],Actor_01,03-01-01-01-02-01-01.wav
-674.01917,50.680557,1.8782262,2490.834609063703,2001.249203790126,0.07435546875,0.58553314,0.0026606736,[125.],Actor_01,03-01-01-01-02-02-01.wav
-709.0568,55.734306,2.66831,2524.451843759085,1945.1874538580694,0.07135944538288289,0.528085,0.0017039623,[117.1875],Actor_01,03-01-02-01-01-01-01.wav
-695.38367,61.305756,-0.60937923,2349.7516756155774,1825.3782378953347,0.05299363938053098,0.5268563,0.0018084687,[104.16666667],Actor_01,03-01-02-01-01-02-01.wav
-687.3386,57.97822,0.12054624,2583.438164939328,1891.1899354892912,0.07824041193181819,0.5629505,0.002640799,[133.92857143],Actor_01,03-01-02-01-02-01-01.wav
-684.7476,62.274815,-0.8035028,2434.4733889156573,1913.4572312220546,0.06814435206422019,0.5542136,0.0026976743,[98.68421053],Actor_01,03-01-02-01-02-02-01.wav
-717.2797,63.705894,2.185003,2236.9248357692354,1767.6512481375007,0.055807179418103446,0.54183805,0.0015354393,[117.1875],Actor_01,03-01-02-02-01-01-01.wav
-678.5387,59.685547,-2.2531874,2470.609848242012,1817.3784853994625,0.08346509176587301,0.5560533,0.0016444948,[187.5],Actor_01,03-01-02-02-01-02-01.wav
-686.6206,60.743797,2.9527428,2469.6749824591575,1859.4331979132903,0.09129749644886363,0.50844413,0.0021160832,[133.92857143],Actor_01,03-01-02-02-02-01-01.wav
-668.69116,55.57162,-3.7082624,2434.4838996313038,1764.99491129,0.09449792286706349,0.5062538,0.0021460033,[170.45454545],Actor_01,03-01-02-02-02-02-01.wav
-630.3295,55.6712,-4.813781,2423.191365448076,1947.765491822732,0.07654816513761468,0.5712626,0.0043530897,[144.23076923],Actor_01,03-01-03-01-01-01-01.wav
-610.25165,53.78916,-5.0915856,2335.025666733635,1921.1011264084345,0.0651161123853211,0.54945934,0.005064275,[133.92857143],Actor_01,03-01-03-01-01-02-01.wav
-642.02765,54.75198,-1.595633,2465.17237678664,1889.9214020683653,0.0868260838963964,0.5218175,0.0038168745,[187.5],Actor_01,03-01-03-01-02-01-01.wav
-635.043,48.91705,2.69724,2551.9160807789176,1927.548433737308,0.08900188577586207,0.5149988,0.0038033645,[187.5],Actor_01,03-01-03-01-02-02-01.wav
-583.28235,43.030334,-6.446322,2399.545843948701,1867.758930195493,0.10117612092391304,0.4745035,0.0066553233,[125.],Actor_01,03-01-03-02-01-01-01.wav
-553.44495,48.778625,-12.78945,2038.4057584827992,1784.704856209584,0.0961742735745614,0.4575978,0.008501556,[133.92857143],Actor_01,03-01-03-02-01-02-01.wav
-502.9581,39.65739,-10.176451,2508.05911391018,1896.0208115485016,0.13047347530241934,0.4737625,0.011078436,[170.45454545],Actor_01,03-01-03-02-02-01-01.wav
-526.3865,41.61293,-10.082785,2562.1472553587664,1919.0639840120998,0.10791015625,0.5051773,0.010273107,[93.75],Actor_01,03-01-03-02-02-02-01.wav
-672.6745,55.628124,-2.9813318,2028.5214010885095,1638.8138019043568,0.066455078125,0.45187917,0.002244447,[133.92857143],Actor_01,03-01-04-01-01-01-01.wav
-681.90076,57.979427,-2.5318468,2402.598852306596,1907.7019026647565,0.06957571847098214,0.52816325,0.0020607472,[125.],Actor_01,03-01-04-01-01-02-01.wav
-724.2896,53.12188,-4.3467674,2262.2600653553736,1666.7787586562818,0.053990589488636366,0.5440714,0.0017757441,[187.5],Actor_01,03-01-04-01-02-01-01.wav
-700.94696,54.177265,-0.24396126,2306.2452738970624,1746.0966038344102,0.06718934257075472,0.51195174,0.002339486,[104.16666667],Actor_01,03-01-04-01-02-02-01.wav
-662.584,57.273373,0.39098683,2321.6446559887495,1862.8690997313572,0.06867121848739496,0.54406065,0.0030100606,[104.16666667],Actor_01,03-01-04-02-01-01-01.wav
-616.7761,44.19108,-5.252616,2525.748120494315,1885.0354168859947,0.07338951373922414,0.53268516,0.0049934485,[117.1875],Actor_01,03-01-04-02-01-02-01.wav
-607.3722,46.99249,-4.7589264,2288.756146545457,1737.4850029169877,0.0781917735042735,0.47738072,0.005108667,[104.16666667],Actor_01,03-01-04-02-02-01-01.wav
-592.1494,43.21868,-3.1927972,2310.253263147316,1762.107773572211,0.08011985844017094,0.4878413,0.006202339,[187.5],Actor_01,03-01-04-02-02-02-01.wav
-533.9207,34.808807,-3.426113,2484.5892603319385,1820.0556740530576,0.12092426394628099,0.48926926,0.009041241,[110.29411765],Actor_01,03-01-05-01-01-01-01.wav
-518.8808,34.114517,-5.147446,2546.092706700411,1886.3902606094532,0.1220309349798387,0.4856355,0.009962278,[110.29411765],Actor_01,03-01-05-01-01-02-01.wav
-565.06146,39.882107,-0.5237033,2607.572340491164,1982.953820234565,0.10728426846590909,0.5360347,0.0069881333,[110.29411765],Actor_01,03-01-05-01-02-01-01.wav
